Gene symbol,P-value (SAEC-Cas9-C2 vs. SAEC-LIMD1KO-C11),FDR step up (SAEC-Cas9-C2 vs. SAEC-LIMD1KO-C11),Fold change (SAEC-Cas9-C2 vs. SAEC-LIMD1KO-C11)
PTPN13,4.36E-09,7.77E-07,7.22E+00
CBWD6,1.10E-03,1.40E-02,7.14E+00
FAM167A,3.93E-03,3.54E-02,7.06E+00
INO80B-WBP1,2.04E-03,2.19E-02,7.01E+00
ARHGAP22,1.00E-05,4.49E-04,6.92E+00
GULP1,1.21E-10,3.14E-08,6.86E+00
SYNPO2,9.26E-05,2.34E-03,6.35E+00
ASRGL1,3.15E-03,3.02E-02,6.07E+00
CHST10,3.60E-03,3.32E-02,5.99E+00
LINC00973,1.22E-04,2.91E-03,5.99E+00
LRRIQ1,3.23E-04,5.91E-03,5.52E+00
C1orf21,4.25E-05,1.34E-03,5.51E+00
COBLL1,4.20E-03,3.71E-02,5.38E+00
DPYSL3,6.78E-13,3.02E-10,5.37E+00
SNORA4,1.31E-02,8.23E-02,5.35E+00
MC1R,1.68E-05,6.53E-04,5.25E+00
ENPP1,4.74E-07,4.22E-05,5.15E+00
GAREM1,5.96E-06,2.90E-04,5.12E+00
PNMA8A,5.05E-03,4.18E-02,5.01E+00
PCSK9,6.27E-03,4.88E-02,4.97E+00
ANK3,6.44E-06,3.08E-04,4.92E+00
DMTN,5.43E-03,4.42E-02,4.91E+00
CRIP1,1.29E-04,3.03E-03,4.88E+00
ZEB2,2.07E-01,4.68E-01,4.83E+00
EHD3,1.19E-07,1.27E-05,4.82E+00
CTSV,6.43E-03,4.98E-02,4.67E+00
HLX,1.24E-04,2.93E-03,4.67E+00
ETV1,6.65E-03,5.11E-02,4.57E+00
KLF4,1.81E-03,2.01E-02,4.47E+00
ANKRD20A1,5.54E-03,4.48E-02,4.42E+00
PLCB4,2.22E-12,7.90E-10,4.36E+00
HERC6,7.53E-03,5.58E-02,4.21E+00
NREP,9.41E-07,7.11E-05,4.20E+00
ZNF416,7.36E-04,1.07E-02,4.18E+00
BTF3P13,3.94E-03,3.55E-02,4.11E+00
C1orf53,3.68E-03,3.37E-02,4.00E+00
RASEF,8.73E-09,1.41E-06,3.92E+00
TMEM243,1.75E-04,3.80E-03,3.90E+00
DNAJC12,7.42E-03,5.54E-02,3.87E+00
SAMD9L,3.26E-01,6.01E-01,3.86E+00
KCNMA1,4.76E-08,6.32E-06,3.80E+00
RAB3IL1,1.25E-02,8.00E-02,3.80E+00
RNU5F-1,1.14E-05,4.92E-04,3.80E+00
AL445647.1,8.95E-04,1.21E-02,3.68E+00
C15orf41,1.18E-05,5.07E-04,3.62E+00
RGS2,1.29E-03,1.58E-02,3.61E+00
CDRT4,9.89E-02,3.04E-01,3.58E+00
CERS6,2.39E-06,1.51E-04,3.55E+00
HAPLN3,4.46E-04,7.42E-03,3.51E+00
FN1,2.38E-11,7.43E-09,3.49E+00
NAV3,2.29E-07,2.21E-05,3.43E+00
LHX4,3.69E-02,1.65E-01,3.34E+00
TXNP6,3.93E-01,6.63E-01,3.28E+00
EPB41L2,4.20E-14,2.62E-11,3.26E+00
SLC30A3,3.26E-02,1.52E-01,3.25E+00
ZXDB,3.57E-04,6.34E-03,3.24E+00
AC006480.2,1.37E-02,8.44E-02,3.23E+00
AL133330.1,4.12E-04,7.03E-03,3.23E+00
AC159540.2,3.79E-03,3.45E-02,3.21E+00
SEMA3E,4.40E-02,1.84E-01,3.20E+00
SLCO4A1,3.16E-06,1.87E-04,3.19E+00
TMEM67,2.00E-04,4.21E-03,3.18E+00
KIF16B,1.02E-09,2.16E-07,3.17E+00
MAPK7,3.98E-02,1.73E-01,3.16E+00
DKK1,7.85E-03,5.77E-02,3.16E+00
DEPDC7,6.55E-04,9.84E-03,3.14E+00
FRMD5,2.19E-02,1.16E-01,3.11E+00
DSEL,3.80E-01,6.51E-01,3.11E+00
DLX1,3.55E-03,3.29E-02,3.07E+00
TWIST2,6.33E-05,1.77E-03,3.06E+00
HAS2,4.09E-04,7.00E-03,3.04E+00
FZD8,1.41E-02,8.62E-02,3.04E+00
ZNF215,1.22E-03,1.52E-02,3.01E+00
AC025423.2,2.69E-02,1.33E-01,3.01E+00
DIO2,1.05E-04,2.59E-03,3.00E+00
COL4A6,5.10E-05,1.50E-03,2.98E+00
DNAAF4-CCPG1,7.04E-03,5.33E-02,2.98E+00
AC022400.3,3.35E-02,1.55E-01,2.98E+00
NANOS1,1.73E-02,9.89E-02,2.96E+00
PSPN,1.46E-03,1.73E-02,2.94E+00
PABPC1P4,1.29E-02,8.11E-02,2.94E+00
ADAMTS15,9.01E-03,6.35E-02,2.94E+00
DNMT3B,2.22E-04,4.56E-03,2.93E+00
CDK20,1.98E-02,1.08E-01,2.92E+00
AHRR,2.69E-02,1.33E-01,2.92E+00
CACNG8,2.02E-02,1.09E-01,2.91E+00
ZNF229,1.45E-03,1.73E-02,2.91E+00
NLGN2,2.37E-04,4.74E-03,2.91E+00
SIMC1,4.14E-04,7.06E-03,2.88E+00
Z68871.1,1.34E-04,3.14E-03,2.86E+00
IGFBP3,8.58E-05,2.22E-03,2.85E+00
DNAJA1P3,1.66E-02,9.61E-02,2.85E+00
AXIN2,1.52E-03,1.79E-02,2.83E+00
LAMA3,9.79E-04,1.29E-02,2.81E+00
COL27A1,8.09E-09,1.33E-06,2.80E+00
PHLDA1,2.91E-06,1.76E-04,2.79E+00
SMG1P1,4.60E-02,1.89E-01,2.77E+00
NR4A2,3.22E-03,3.06E-02,2.75E+00
BDNF,3.09E-05,1.05E-03,2.74E+00
CYB5D1,5.00E-03,4.15E-02,2.74E+00
SAMD15,1.70E-03,1.94E-02,2.73E+00
FDXACB1,4.75E-03,4.02E-02,2.70E+00
SCARNA18B,1.70E-02,9.76E-02,2.70E+00
ZNF594,6.74E-03,5.16E-02,2.70E+00
AC006028.1,8.86E-04,1.20E-02,2.67E+00
NOVA1,7.34E-05,1.98E-03,2.67E+00
ARHGAP32,8.19E-05,2.13E-03,2.66E+00
APOBEC3A,2.24E-01,4.87E-01,2.64E+00
MTRNR2L10,4.58E-02,1.88E-01,2.63E+00
AC009120.2,7.51E-03,5.57E-02,2.63E+00
TMEM183B,6.86E-03,5.22E-02,2.63E+00
BBS12,2.49E-02,1.26E-01,2.59E+00
EPHA2,1.77E-02,1.00E-01,2.59E+00
HIST1H3H,5.41E-03,4.41E-02,2.58E+00
TMED1,4.95E-05,1.47E-03,2.58E+00
AMIGO2,7.52E-11,2.13E-08,2.58E+00
IGF2,7.96E-04,1.12E-02,2.56E+00
SLITRK6,4.87E-02,1.96E-01,2.56E+00
CASP9,5.49E-01,7.85E-01,2.53E+00
HMGN4,4.50E-03,3.88E-02,2.53E+00
CPNE8,2.31E-04,4.66E-03,2.52E+00
ZNF287,3.69E-02,1.65E-01,2.52E+00
SYTL4,6.91E-04,1.02E-02,2.52E+00
DNAAF4,1.27E-03,1.56E-02,2.51E+00
ARRB1,2.44E-02,1.25E-01,2.50E+00
SCARA5,4.45E-02,1.85E-01,2.50E+00
NRG1,2.78E-08,4.04E-06,2.50E+00
FTH1P8,8.35E-01,9.43E-01,2.50E+00
RPL23AP65,1.62E-01,4.08E-01,2.50E+00
RPL12P13,9.97E-02,3.05E-01,2.46E+00
RPLP0P6,5.98E-01,8.18E-01,2.46E+00
PTK6,4.95E-02,1.99E-01,2.45E+00
CRLF3,7.56E-04,1.09E-02,2.44E+00
AC103702.2,1.43E-01,3.79E-01,2.44E+00
SEC24D,9.19E-05,2.33E-03,2.44E+00
TPGS1,1.56E-02,9.20E-02,2.43E+00
TSPAN13,8.52E-04,1.17E-02,2.43E+00
BRD7P4,5.34E-02,2.08E-01,2.43E+00
ACAD8,3.03E-02,1.45E-01,2.42E+00
RPL10P9,2.26E-01,4.89E-01,2.41E+00
OAS1,1.31E-01,3.58E-01,2.40E+00
HMGB3P20,5.68E-02,2.16E-01,2.39E+00
IGFBP4,2.65E-09,5.00E-07,2.39E+00
TRIM21,4.27E-04,7.20E-03,2.39E+00
DOCK10,1.54E-05,6.21E-04,2.39E+00
USP27X,1.00E-03,1.30E-02,2.37E+00
FKBP8,3.46E-02,1.58E-01,2.37E+00
KCNK6,8.81E-05,2.26E-03,2.36E+00
PITX2,1.20E-02,7.78E-02,2.36E+00
PI4K2B,5.27E-01,7.69E-01,2.35E+00
C5orf34,5.14E-02,2.03E-01,2.35E+00
NEK11,2.15E-02,1.14E-01,2.35E+00
CHST7,1.94E-02,1.07E-01,2.35E+00
C19orf44,5.60E-03,4.50E-02,2.35E+00
SHANK2,2.28E-02,1.19E-01,2.34E+00
ARRDC2,3.48E-04,6.20E-03,2.33E+00
DUXAP9,2.51E-02,1.27E-01,2.33E+00
AK7,4.66E-02,1.90E-01,2.33E+00
FRG1JP,7.01E-02,2.45E-01,2.33E+00
COL5A1,5.49E-07,4.62E-05,2.32E+00
DTX4,1.54E-04,3.46E-03,2.32E+00
AC078817.1,7.42E-02,2.56E-01,2.31E+00
RAB11B-AS1,5.27E-02,2.06E-01,2.31E+00
SULT1A4,3.21E-01,5.95E-01,2.31E+00
PDE1C,1.28E-01,3.53E-01,2.30E+00
NFE2L3,2.19E-04,4.52E-03,2.30E+00
CDKL5,1.80E-03,2.01E-02,2.30E+00
AC090589.1,3.67E-02,1.65E-01,2.29E+00
C3orf14,1.04E-04,2.58E-03,2.28E+00
ZNF883,7.52E-03,5.57E-02,2.28E+00
WDPCP,8.82E-03,6.27E-02,2.27E+00
RNF144A,6.19E-03,4.86E-02,2.27E+00
TMEM79,3.83E-02,1.69E-01,2.27E+00
ITGA2,1.46E-06,1.01E-04,2.27E+00
ADPRM,6.52E-03,5.02E-02,2.27E+00
AC027290.2,2.51E-02,1.27E-01,2.27E+00
INHBB,1.46E-06,1.01E-04,2.26E+00
AC009948.1,6.69E-02,2.39E-01,2.26E+00
KIZ,3.77E-03,3.44E-02,2.26E+00
RNASE4,2.88E-02,1.41E-01,2.25E+00
GAMT,3.68E-06,2.08E-04,2.24E+00
SLC22A4,2.48E-02,1.26E-01,2.24E+00
PEMT,7.42E-04,1.07E-02,2.24E+00
RPL24P7,3.97E-02,1.73E-01,2.24E+00
ABTB2,5.61E-04,8.78E-03,2.24E+00
HDAC4,4.60E-03,3.93E-02,2.23E+00
NTN4,7.14E-04,1.05E-02,2.23E+00
AMOTL1,2.95E-05,1.01E-03,2.23E+00
CCDC144B,7.06E-01,8.81E-01,2.23E+00
AC026471.1,7.86E-02,2.64E-01,2.23E+00
TFPI2,6.50E-08,8.02E-06,2.22E+00
AC110285.7,1.31E-01,3.58E-01,2.21E+00
AC132217.1,5.18E-02,2.04E-01,2.21E+00
ISPD,8.68E-02,2.81E-01,2.21E+00
YES1P1,4.26E-02,1.80E-01,2.20E+00
AC022211.3,1.03E-01,3.10E-01,2.20E+00
COL1A1,2.64E-03,2.68E-02,2.20E+00
AL590867.2,1.80E-01,4.32E-01,2.20E+00
AC009404.1,4.21E-02,1.79E-01,2.19E+00
TTLL7,2.23E-04,4.56E-03,2.18E+00
SNORA62,1.97E-02,1.08E-01,2.18E+00
TNFSF9,2.82E-03,2.79E-02,2.18E+00
LOXL2,3.02E-04,5.66E-03,2.18E+00
PTPRJ,3.21E-04,5.87E-03,2.18E+00
TCF4,1.29E-05,5.44E-04,2.17E+00
AC005519.1,2.02E-01,4.61E-01,2.17E+00
SARM1,1.32E-03,1.61E-02,2.17E+00
SMG1P5,7.47E-03,5.56E-02,2.17E+00
PDGFA,4.60E-05,1.40E-03,2.16E+00
AL645568.2,4.69E-02,1.91E-01,2.16E+00
TMEM170B,3.82E-02,1.69E-01,2.16E+00
RPL35P2,1.74E-01,4.25E-01,2.16E+00
PCOLCE2,4.45E-03,3.85E-02,2.16E+00
IFI35,7.14E-04,1.05E-02,2.16E+00
SLC27A3,2.31E-02,1.20E-01,2.15E+00
AC112777.1,1.52E-01,3.93E-01,2.15E+00
CCDC71L,8.75E-02,2.82E-01,2.15E+00
AC092683.1,2.60E-03,2.65E-02,2.15E+00
AC025678.3,3.01E-02,1.44E-01,2.14E+00
GLI2,8.40E-04,1.16E-02,2.14E+00
CXorf40B,2.75E-01,5.47E-01,2.13E+00
ALKBH1,2.68E-02,1.33E-01,2.13E+00
CARMIL1,1.55E-03,1.81E-02,2.13E+00
MYLIP,1.14E-04,2.76E-03,2.13E+00
CTXN1,1.89E-04,4.07E-03,2.12E+00
PLK2,1.99E-05,7.33E-04,2.12E+00
PARVB,2.68E-03,2.71E-02,2.12E+00
HHIP,5.76E-01,8.04E-01,2.12E+00
CLMP,1.46E-04,3.34E-03,2.11E+00
TMEM39B,5.42E-02,2.10E-01,2.11E+00
NPHP4,6.17E-02,2.27E-01,2.11E+00
RNF130,3.08E-02,1.46E-01,2.11E+00
TIAM1,1.02E-02,6.91E-02,2.11E+00
ICAM3,5.85E-03,4.65E-02,2.11E+00
RAB15,3.61E-05,1.18E-03,2.11E+00
DBNDD2,1.42E-02,8.66E-02,2.10E+00
AC012615.1,6.00E-02,2.23E-01,2.10E+00
PWAR6,4.43E-02,1.84E-01,2.10E+00
PER2,2.05E-04,4.26E-03,2.10E+00
CLP1,6.05E-03,4.76E-02,2.10E+00
SERPINE2,6.45E-08,8.02E-06,2.09E+00
GLRX3P2,5.34E-02,2.08E-01,2.09E+00
ZNF266,5.21E-02,2.05E-01,2.09E+00
RPS15AP24,2.93E-01,5.66E-01,2.08E+00
NUP37,1.86E-03,2.06E-02,2.08E+00
METTL25,2.90E-02,1.41E-01,2.08E+00
WISP2,4.84E-03,4.06E-02,2.08E+00
KHK,5.67E-03,4.54E-02,2.08E+00
B9D2,1.86E-05,6.94E-04,2.08E+00
MT2P1,6.57E-01,8.53E-01,2.07E+00
ZFHX2,8.33E-04,1.15E-02,2.07E+00
TSEN2,1.88E-03,2.07E-02,2.07E+00
RHPN1,8.27E-03,5.99E-02,2.07E+00
AC024075.1,6.24E-02,2.28E-01,2.07E+00
DDX58,2.02E-03,2.18E-02,2.07E+00
RPL23P8,2.25E-02,1.18E-01,2.07E+00
KLHL4,1.99E-03,2.16E-02,2.06E+00
DFFB,2.95E-02,1.43E-01,2.06E+00
BRD3OS,3.51E-05,1.16E-03,2.06E+00
THBS1,4.66E-07,4.18E-05,2.06E+00
NUDT4P2,2.19E-02,1.16E-01,2.06E+00
MSRA,3.61E-03,3.33E-02,2.06E+00
SLC7A2,7.25E-05,1.97E-03,2.06E+00
ZNF605,9.97E-05,2.50E-03,2.06E+00
TTC30B,6.08E-03,4.79E-02,2.06E+00
ARL15,2.54E-02,1.28E-01,2.05E+00
DCDC2,2.87E-02,1.40E-01,2.05E+00
AC008764.6,1.12E-01,3.27E-01,2.05E+00
IRF7,1.10E-01,3.25E-01,2.05E+00
C5orf30,1.39E-03,1.67E-02,2.05E+00
N4BP2,7.56E-05,2.02E-03,2.05E+00
YPEL2,3.74E-03,3.42E-02,2.05E+00
RPL19P16,2.12E-01,4.74E-01,2.04E+00
SSBP2,8.10E-04,1.13E-02,2.03E+00
RPS4XP2,6.45E-01,8.45E-01,2.03E+00
ZNF333,8.75E-02,2.82E-01,2.03E+00
OSBPL6,8.19E-02,2.71E-01,2.02E+00
IDNK,3.02E-02,1.45E-01,2.02E+00
Mar-08,6.72E-04,1.01E-02,2.02E+00
FZD7,1.69E-02,9.73E-02,2.02E+00
AP001816.1,8.67E-03,6.20E-02,2.02E+00
EEF1AKMT3,4.69E-02,1.91E-01,2.01E+00
RABL2A,6.48E-03,5.00E-02,2.01E+00
POLRMTP1,3.14E-02,1.48E-01,2.01E+00
CASC8,3.05E-02,1.46E-01,2.01E+00
AC126474.2,9.18E-02,2.90E-01,2.01E+00
SNORD3C,1.03E-02,6.95E-02,2.00E+00
AL049629.2,5.33E-04,8.49E-03,2.00E+00
DHX34,7.03E-03,5.33E-02,2.00E+00
SLC44A1,7.90E-04,1.12E-02,2.00E+00
MIR503HG,1.10E-02,7.30E-02,1.99E+00
CTC1,7.66E-03,5.65E-02,1.99E+00
NATD1,9.87E-02,3.04E-01,1.99E+00
SMN1,4.04E-03,3.60E-02,1.98E+00
RPP40,2.35E-04,4.72E-03,1.98E+00
BOK,3.28E-03,3.10E-02,1.98E+00
DDX60,2.36E-03,2.45E-02,1.98E+00
RBM14-RBM4,1.38E-01,3.69E-01,1.98E+00
FAM161B,1.83E-02,1.03E-01,1.98E+00
NR2F1,1.05E-05,4.64E-04,1.98E+00
TRPV1,2.01E-02,1.09E-01,1.98E+00
PPP4C,7.75E-01,9.18E-01,1.98E+00
ZSCAN22,2.23E-02,1.17E-01,1.98E+00
BTBD8,2.72E-03,2.73E-02,1.97E+00
EVA1B,3.84E-02,1.69E-01,1.97E+00
PRTG,1.87E-02,1.04E-01,1.97E+00
PDF,2.93E-02,1.42E-01,1.97E+00
AC015813.1,3.43E-02,1.57E-01,1.97E+00
MAN2A1,4.51E-05,1.39E-03,1.97E+00
AC234775.2,1.10E-01,3.25E-01,1.97E+00
BTBD3,4.71E-04,7.71E-03,1.97E+00
MARCKSL1,1.88E-02,1.04E-01,1.96E+00
PLD2,6.98E-02,2.45E-01,1.96E+00
HDHD5,2.97E-01,5.71E-01,1.96E+00
GLRX2,2.75E-07,2.62E-05,1.95E+00
RF00003,1.40E-02,8.57E-02,1.95E+00
ARL6,1.76E-01,4.27E-01,1.95E+00
AC093297.2,1.59E-01,4.03E-01,1.95E+00
LINC00680,4.33E-02,1.82E-01,1.95E+00
AL137013.1,7.82E-02,2.63E-01,1.95E+00
OXTR,6.26E-03,4.88E-02,1.95E+00
YARS2,3.34E-02,1.55E-01,1.94E+00
REPS2,1.45E-01,3.82E-01,1.94E+00
PDGFRL,2.49E-02,1.26E-01,1.94E+00
PTBP2,5.61E-03,4.50E-02,1.93E+00
BMP2,4.13E-02,1.77E-01,1.93E+00
ALDH3A1,1.37E-05,5.66E-04,1.93E+00
TPST2,5.81E-02,2.19E-01,1.93E+00
COL4A5,2.77E-03,2.76E-02,1.93E+00
AMACR,9.20E-04,1.23E-02,1.93E+00
MLF1,1.09E-02,7.26E-02,1.93E+00
AC092279.1,2.50E-01,5.17E-01,1.93E+00
AC108062.1,2.96E-02,1.43E-01,1.93E+00
ABCG2,1.39E-01,3.71E-01,1.93E+00
SERTAD1,1.96E-03,2.13E-02,1.93E+00
LFNG,2.77E-02,1.36E-01,1.92E+00
KANSL1L,1.18E-01,3.38E-01,1.92E+00
MTRNR2L1,2.82E-01,5.56E-01,1.92E+00
ARHGAP39,2.05E-01,4.65E-01,1.92E+00
ZNF823,1.01E-01,3.07E-01,1.92E+00
BAIAP2,8.50E-04,1.17E-02,1.92E+00
COMMD9,9.36E-05,2.36E-03,1.92E+00
MT2A,8.34E-10,1.79E-07,1.92E+00
RNF19B,4.60E-02,1.89E-01,1.91E+00
DUBR,9.33E-03,6.50E-02,1.91E+00
MIR4453HG,1.23E-01,3.45E-01,1.91E+00
CRTC1,1.99E-02,1.08E-01,1.91E+00
ZNF546,1.08E-02,7.23E-02,1.91E+00
ASTE1,3.10E-02,1.47E-01,1.91E+00
FAT4,2.73E-02,1.35E-01,1.91E+00
SLC7A11,3.34E-06,1.94E-04,1.91E+00
ZNF222,2.20E-01,4.82E-01,1.91E+00
AC112220.4,1.95E-02,1.07E-01,1.91E+00
CCDC22,8.53E-04,1.17E-02,1.90E+00
RPS6KA5,9.76E-04,1.28E-02,1.90E+00
GUSBP1,4.99E-02,2.00E-01,1.90E+00
IFIT2,4.66E-02,1.90E-01,1.90E+00
COL5A2,1.93E-06,1.26E-04,1.90E+00
MRI1,2.13E-03,2.28E-02,1.90E+00
TIRAP,6.29E-02,2.29E-01,1.90E+00
SPOCK1,1.52E-02,9.08E-02,1.89E+00
CENPS-CORT,4.57E-02,1.88E-01,1.89E+00
MPP3,7.44E-03,5.55E-02,1.89E+00
DDAH2,4.41E-05,1.37E-03,1.89E+00
PTPRM,2.35E-03,2.45E-02,1.89E+00
SNORA79,7.89E-03,5.78E-02,1.89E+00
SGK1,3.17E-02,1.50E-01,1.89E+00
PRELID2,2.64E-03,2.68E-02,1.88E+00
RGS20,1.85E-03,2.05E-02,1.88E+00
HSP90AB2P,5.51E-02,2.12E-01,1.88E+00
PNPLA3,7.43E-02,2.56E-01,1.87E+00
SERINC5,5.61E-03,4.50E-02,1.87E+00
ITGA6,1.07E-05,4.70E-04,1.87E+00
LINC01641,4.67E-02,1.90E-01,1.87E+00
IRX2,3.28E-03,3.10E-02,1.87E+00
RCN1,1.91E-09,3.66E-07,1.87E+00
EVC,9.92E-02,3.04E-01,1.86E+00
RRAGB,2.88E-02,1.41E-01,1.86E+00
TIPARP,9.13E-05,2.32E-03,1.86E+00
AC008677.1,1.09E-01,3.23E-01,1.86E+00
ARRDC3,5.39E-04,8.54E-03,1.86E+00
BTN2A3P,8.11E-02,2.70E-01,1.86E+00
RGMB,5.22E-03,4.28E-02,1.86E+00
AC007256.1,1.63E-02,9.49E-02,1.85E+00
MBTD1,4.59E-03,3.93E-02,1.85E+00
CCNH,2.65E-02,1.32E-01,1.85E+00
LDHA,1.73E-03,1.96E-02,1.85E+00
C11orf1,1.09E-03,1.39E-02,1.85E+00
THYN1,1.55E-05,6.22E-04,1.85E+00
BCL2,2.35E-01,4.99E-01,1.85E+00
ZNF627,1.10E-01,3.25E-01,1.84E+00
AL024507.2,8.19E-02,2.71E-01,1.84E+00
TAF1A,4.18E-03,3.69E-02,1.84E+00
NPHP1,2.23E-03,2.36E-02,1.84E+00
HECTD3,1.39E-03,1.68E-02,1.84E+00
RPL5P18,2.28E-02,1.19E-01,1.84E+00
SCARNA13,1.18E-02,7.66E-02,1.84E+00
RNU4-2,2.45E-01,5.11E-01,1.84E+00
PPP2R3A,6.21E-03,4.86E-02,1.84E+00
LDLRAD3,2.03E-04,4.26E-03,1.83E+00
CREG1,6.07E-02,2.25E-01,1.83E+00
VGF,1.12E-01,3.27E-01,1.83E+00
REEP6,1.01E-01,3.06E-01,1.83E+00
AC011445.2,1.70E-02,9.77E-02,1.83E+00
GTDC1,7.62E-03,5.63E-02,1.83E+00
TMEM164,1.48E-05,5.96E-04,1.83E+00
AC022107.1,7.17E-03,5.41E-02,1.83E+00
MMP24,3.03E-02,1.45E-01,1.83E+00
SH3PXD2B,5.34E-04,8.50E-03,1.82E+00
SCARNA22,3.46E-03,3.23E-02,1.82E+00
ZNF678,4.46E-03,3.85E-02,1.82E+00
AC020910.5,7.45E-02,2.56E-01,1.82E+00
SLC25A45,1.33E-02,8.29E-02,1.82E+00
ZNF670,1.65E-02,9.57E-02,1.82E+00
BUD13,6.91E-03,5.25E-02,1.82E+00
C2orf81,2.15E-02,1.14E-01,1.82E+00
NR1H3,4.61E-03,3.93E-02,1.82E+00
TFAP2C,9.08E-01,9.67E-01,1.82E+00
AL845552.1,6.53E-02,2.35E-01,1.82E+00
NUDT4,1.79E-05,6.81E-04,1.82E+00
AC064807.1,4.37E-02,1.83E-01,1.82E+00
SMYD4,4.31E-05,1.35E-03,1.82E+00
H19,1.52E-01,3.92E-01,1.82E+00
SLC4A11,4.68E-03,3.97E-02,1.82E+00
AC009061.2,1.23E-01,3.45E-01,1.82E+00
TFB2M,2.31E-01,4.95E-01,1.82E+00
SENP3,7.61E-04,1.09E-02,1.81E+00
THOC1,5.91E-05,1.69E-03,1.81E+00
SC5D,2.31E-02,1.20E-01,1.81E+00
FAM187A,2.10E-01,4.72E-01,1.81E+00
TUSC3,2.39E-05,8.50E-04,1.81E+00
IGFBP2,1.26E-03,1.56E-02,1.81E+00
GREM1,2.45E-01,5.10E-01,1.81E+00
GPRIN1,1.73E-02,9.90E-02,1.80E+00
MIEF2,1.59E-02,9.35E-02,1.80E+00
AC103810.2,2.04E-01,4.63E-01,1.80E+00
ZNF557,1.15E-02,7.53E-02,1.80E+00
BCLAF1P1,2.39E-01,5.04E-01,1.80E+00
HEXIM2,2.88E-03,2.83E-02,1.79E+00
EDARADD,3.54E-02,1.61E-01,1.79E+00
GRIN2D,9.46E-01,9.83E-01,1.79E+00
PARVA,7.76E-04,1.11E-02,1.79E+00
PLAT,1.08E-01,3.21E-01,1.79E+00
DUXAP8,4.22E-03,3.71E-02,1.78E+00
TRIM7,4.23E-02,1.79E-01,1.78E+00
NAF1,1.01E-02,6.88E-02,1.78E+00
KBTBD4,3.19E-02,1.50E-01,1.78E+00
YJU2,1.17E-02,7.60E-02,1.78E+00
RASSF3,1.25E-02,7.97E-02,1.78E+00
CHML,3.17E-06,1.87E-04,1.78E+00
ZNF16,1.08E-02,7.23E-02,1.78E+00
CD44,1.84E-07,1.83E-05,1.78E+00
SETD9,1.88E-01,4.44E-01,1.78E+00
ZNF121,5.18E-06,2.68E-04,1.78E+00
MAFG-DT,5.92E-03,4.70E-02,1.78E+00
USE1,1.59E-04,3.53E-03,1.78E+00
RN7SL3,7.58E-02,2.58E-01,1.78E+00
AC007390.2,1.01E-01,3.06E-01,1.78E+00
DUS3L,4.68E-03,3.97E-02,1.78E+00
DZANK1,1.56E-02,9.20E-02,1.77E+00
BTD,1.57E-03,1.83E-02,1.77E+00
RPL34P33,4.05E-01,6.73E-01,1.77E+00
FAM92A,1.37E-02,8.47E-02,1.77E+00
POLR3G,1.56E-04,3.49E-03,1.76E+00
SPTY2D1,1.30E-05,5.45E-04,1.76E+00
PNMA1,4.44E-01,7.08E-01,1.76E+00
TMEM267,6.88E-02,2.42E-01,1.76E+00
AC012321.1,6.12E-01,8.26E-01,1.76E+00
BEND6,4.62E-03,3.93E-02,1.76E+00
RNY1,6.88E-02,2.43E-01,1.76E+00
